,location,total_sqft,bath,price,bhk
0,other,2770.0,4.0,290.0,3
3,other,600.0,1.0,38.0,1
6,other,1500.0,2.0,185.0,2
7,other,840.0,2.0,45.0,2
8,other,4395.0,3.0,240.0,3
9,other,845.0,2.0,55.0,2
10,other,2511.0,3.0,205.0,3
11,other,1660.0,2.0,105.0,3
13,other,1200.0,2.0,65.0,2
14,other,1200.0,3.0,90.0,3
18,other,782.0,2.0,55.68,2
19,other,1800.0,3.0,120.0,3
20,other,1413.0,2.0,75.0,3
21,other,945.0,2.0,54.0,2
22,other,1870.0,3.0,110.0,3
23,other,1260.0,2.0,85.05,3
25,other,2795.0,4.0,235.0,3
27,other,1904.0,3.0,150.0,3
28,other,2000.0,3.0,175.0,3
31,other,1500.0,3.0,100.0,3
33,other,1783.0,3.0,115.0,3
34,other,912.0,2.0,70.0,3
37,other,1580.0,3.0,100.0,3
38,other,1415.0,3.0,78.0,3
40,other,2405.0,4.0,260.0,3
41,other,1500.0,2.0,115.0,2
46,other,1060.0,2.0,60.0,2
47,other,2600.0,8.0,180.0,8
49,other,1285.0,2.0,72.5,2
50,other,4050.0,3.0,280.0,3
53,other,1280.0,2.0,69.0,2
54,other,3045.0,3.0,170.0,3
57,other,900.0,2.0,110.0,2
62,other,1560.0,3.0,115.0,3
65,other,1200.0,4.0,165.0,4
67,other,1645.0,3.0,95.0,3
68,other,1200.0,2.0,79.0,2
70,other,1350.0,2.0,140.0,3
71,other,1800.0,3.0,150.0,3
73,other,1762.0,3.0,125.0,3
75,other,1200.0,3.0,90.0,3
76,other,2023.71,3.0,275.0,3
82,other,2150.0,4.0,240.0,3
85,other,3309.0,4.0,325.0,4
86,other,5000.0,9.0,360.0,11
88,other,1150.0,2.0,126.0,2
91,other,1200.0,2.0,74.0,2
94,other,1753.0,3.0,120.0,3
96,other,720.0,2.0,45.0,2
99,other,1200.0,3.0,165.0,4
100,other,700.0,1.0,41.0,1
102,other,1595.0,3.0,115.0,3
103,other,1353.0,2.0,110.0,2
104,other,1200.0,2.0,85.0,1
107,other,1325.0,2.0,90.0,3
110,other,1056.0,2.0,80.0,2
112,other,1600.0,3.0,86.0,3
114,other,1544.0,3.0,120.0,3
115,other,1200.0,2.0,65.0,2
116,other,540.0,1.0,36.0,1
117,other,1578.0,3.0,180.0,3
119,other,1600.0,2.0,115.0,2
120,other,416.0,1.0,18.5,1
123,other,834.0,1.0,60.0,1
124,other,1125.0,4.0,70.0,3
125,other,3000.0,5.0,260.0,4
126,other,2160.0,5.0,250.0,6
128,other,469.0,1.0,25.0,1
133,other,1630.0,2.0,200.0,2
135,other,1200.0,2.0,70.0,3
136,other,1350.0,3.0,77.0,3
137,other,4046.0,4.0,445.0,4
138,other,1180.0,2.0,78.34,3
139,other,1355.0,2.0,115.0,2
140,other,600.0,1.0,50.0,1
141,other,1875.0,3.0,165.0,3
142,other,600.0,2.0,55.0,2
145,other,1750.0,3.0,120.0,3
148,other,1092.0,2.0,98.5,3
151,other,1855.0,3.0,225.0,3
155,other,425.0,1.0,20.03,1
157,other,600.0,1.0,60.0,1
158,other,1468.0,2.0,140.0,2
159,other,4300.0,5.0,550.0,4
161,other,775.0,2.0,55.0,2
164,other,1352.0,3.0,135.0,3
166,other,1200.0,3.0,95.0,4
167,other,1976.0,3.0,184.0,3
168,other,5500.0,4.0,600.0,4
169,other,1200.0,3.0,95.0,3
172,other,1180.0,2.0,69.0,2
173,other,686.0,1.0,17.0,1
175,other,1500.0,4.0,180.0,4
177,other,1282.0,2.0,87.0,2
179,other,1500.0,2.0,95.0,3
180,other,1300.0,1.0,115.0,2
181,other,530.0,1.0,20.0,1
182,other,1350.0,2.0,80.0,2
184,other,2400.0,6.0,125.0,8
186,other,1141.0,2.0,62.0,2
189,other,950.0,1.0,40.0,1
196,other,1480.0,3.0,90.0,3
197,other,1600.0,3.0,90.0,3
198,other,1200.0,4.0,135.0,4
200,other,1500.0,3.0,115.0,3
201,other,1824.0,3.0,125.0,3
202,other,750.0,1.0,56.25,1
209,other,6000.0,5.0,400.0,4
210,other,2400.0,3.0,170.0,3
212,other,1500.0,2.0,98.0,3
213,other,3095.0,3.0,350.0,3
215,other,1200.0,1.0,28.0,1
216,other,1500.0,3.0,100.0,3
218,other,1560.0,5.0,145.0,5
220,other,1560.0,3.0,188.0,3
223,other,485.0,1.0,15.0,1
229,other,1200.0,3.0,130.0,3
230,other,1050.0,2.0,67.0,2
231,other,1596.0,3.0,105.0,3
235,other,1200.0,3.0,85.0,3
236,other,1132.0,2.0,67.0,2
238,other,1515.0,3.0,88.0,3
241,other,1380.0,2.0,80.0,2
244,other,4346.0,5.0,500.0,4
246,other,2200.0,3.0,187.0,3
247,other,3329.0,3.0,330.0,3
248,other,3600.0,4.0,300.0,4
249,other,3500.0,3.0,450.0,4
251,other,1093.0,2.0,65.0,2
253,other,1535.0,3.0,95.0,3
255,other,1100.0,2.0,62.7,2
258,other,2197.0,4.0,280.0,3
260,other,1100.0,2.0,60.0,2
261,other,1600.0,3.0,172.0,4
262,other,1450.0,2.0,85.0,3
263,other,2000.0,3.0,166.0,4
267,other,1756.0,3.0,100.0,3
268,other,1532.0,3.0,92.0,3
269,other,1650.0,3.0,110.0,3
270,other,1200.0,2.0,66.0,2
272,other,1525.0,2.0,122.0,3
276,other,2400.0,3.0,200.0,4
277,other,1000.0,2.0,130.0,2
279,other,3040.0,1.0,180.0,2
281,other,1390.0,3.0,120.0,3
283,other,1135.0,2.0,68.0,2
284,other,900.0,2.0,55.0,2
288,other,2500.0,3.0,250.0,3
292,other,1269.72,2.0,68.0,2
293,other,1168.0,3.0,70.0,3
295,other,2100.0,4.0,155.0,4
297,other,1515.0,3.0,93.93,3
302,other,2700.0,4.0,214.0,6
303,other,2000.0,3.0,210.0,3
304,other,2400.0,4.0,300.0,5
305,other,1760.0,3.0,176.0,3
306,other,595.0,1.0,42.0,1
311,other,1170.0,2.0,86.0,2
312,other,2200.0,4.0,235.0,4
320,other,1650.0,3.0,175.0,3
322,other,1670.0,3.0,91.86,3
326,other,1250.0,2.0,80.0,3
327,other,1650.0,4.0,160.0,3
328,other,800.0,2.0,50.0,2
329,other,1225.0,2.0,150.0,2
331,other,3675.0,4.0,367.0,4
332,other,1200.0,2.0,150.0,2
335,other,1350.0,2.0,80.0,2
337,other,1614.0,3.0,110.0,3
338,other,1188.0,2.0,73.0,2
339,other,1480.0,3.0,90.0,3
340,other,680.0,2.0,42.0,2
343,other,955.0,2.0,53.55,2
345,other,2479.13,3.0,215.0,3
346,other,1100.0,2.0,106.0,2
349,other,1925.0,3.0,120.0,3
350,other,650.0,1.0,26.0,1
352,other,2000.0,3.0,207.0,3
353,other,1050.0,2.0,110.0,2
355,other,2204.0,2.0,305.0,3
361,other,1685.0,2.0,110.0,3
363,other,1550.0,3.0,110.0,3
364,other,500.0,1.0,20.0,1
366,other,3155.0,4.0,370.0,3
367,other,1765.0,3.0,105.0,3
368,other,1265.0,2.0,70.0,2
369,other,1012.0,2.0,59.0,2
370,other,2045.0,4.0,154.0,3
372,other,2400.0,4.0,280.0,6
373,other,581.91,2.0,25.0,1
374,other,1158.0,2.0,85.0,3
375,other,925.0,2.0,51.0,2
376,other,1415.0,2.0,110.0,2
379,other,4750.0,5.0,600.0,4
380,other,1840.0,3.0,155.0,3
381,other,1350.0,2.0,185.0,2
382,other,824.0,2.0,60.0,2
383,other,1340.0,2.0,100.0,3
384,other,1620.0,2.0,110.0,3
385,other,1533.0,3.0,115.0,3
386,other,1560.0,3.0,85.0,3
388,other,750.0,1.0,25.0,1
389,other,1375.0,2.0,85.0,3
396,other,1500.0,3.0,88.0,3
398,other,1140.0,2.0,76.0,2
399,other,1198.0,2.0,84.0,2
400,other,4000.0,4.0,520.0,4
402,other,1370.0,2.0,75.0,2
406,other,1000.0,1.0,55.0,2
407,other,1200.0,2.0,125.0,2
411,other,1050.0,1.0,70.0,1
412,other,1200.0,2.0,80.0,3
420,other,400.0,1.0,14.0,1
422,other,1575.0,4.0,150.0,5
424,other,4800.0,5.0,629.0,4
425,other,1200.0,2.0,70.0,2
427,other,1100.0,2.0,60.0,2
429,other,1300.0,2.0,79.0,2
431,other,3500.0,4.0,350.0,4
433,other,1000.0,2.0,110.0,3
440,other,2400.0,3.0,260.0,3
441,other,1533.0,3.0,85.0,3
444,other,1452.55,2.0,110.0,2
445,other,2357.0,3.0,151.0,3
446,other,1170.0,2.0,105.0,2
447,other,1411.0,3.0,91.72,3
449,other,3095.0,3.0,375.0,3
451,other,1100.0,3.0,78.0,3
453,other,3600.0,4.0,365.0,4
456,other,1945.0,3.0,120.0,3
458,other,1650.0,3.0,165.0,3
459,other,1550.0,2.0,150.0,3
461,other,1150.0,2.0,75.0,3
462,other,1200.0,3.0,74.0,3
463,other,1229.0,3.0,86.03,3
464,other,1030.0,2.0,61.0,2
465,other,600.0,1.0,32.0,1
466,other,1165.0,2.0,135.0,2
469,other,3000.0,4.0,240.0,4
471,other,1315.0,2.0,90.0,2
472,other,1210.0,2.0,72.0,2
473,other,11338.0,9.0,1000.0,6
475,other,30000.0,4.0,2100.0,4
477,other,1170.0,2.0,68.0,2
478,other,1600.0,2.0,110.0,2
480,other,1370.0,2.0,75.0,3
482,other,1980.0,3.0,224.0,3
484,other,1700.0,3.0,97.0,3
485,other,1900.0,3.0,160.0,3
487,other,1100.0,2.0,75.0,2
488,other,1929.0,3.0,115.0,3
489,other,3161.0,4.0,214.0,4
491,other,3515.0,3.0,420.0,3
493,other,1100.0,2.0,70.0,2
497,other,700.0,1.0,41.0,1
502,other,3000.0,3.0,250.0,3
503,other,1100.0,2.0,61.0,2
504,other,1260.0,1.0,41.0,1
505,other,1500.0,1.0,37.5,1
506,other,600.0,1.0,17.0,1
508,other,1165.0,2.0,75.0,2
509,other,1272.0,4.0,75.0,3
511,other,1600.0,5.0,140.0,5
513,other,1000.0,2.0,65.0,3
515,other,2400.0,4.0,325.0,3
517,other,1463.0,1.0,142.0,2
519,other,2401.0,3.0,185.0,3
520,other,1875.0,2.0,235.0,3
522,other,890.0,1.0,75.0,1
525,other,2400.0,3.0,290.0,3
527,other,1690.0,3.0,100.0,3
530,other,1350.0,2.0,90.0,2
531,other,1460.0,3.0,88.0,3
532,other,1685.0,3.0,95.0,3
533,other,800.0,1.0,52.0,1
534,other,4000.0,5.0,280.0,4
536,other,792.0,2.0,70.0,2
539,other,2400.0,5.0,235.0,5
542,other,461.82,1.0,31.7,1
543,other,1500.0,2.0,85.0,3
546,other,1260.0,2.0,75.0,2
548,other,12000.0,12.0,525.0,10
550,other,2820.0,3.0,285.0,3
551,other,1950.0,3.0,130.0,3
553,other,1350.0,2.0,140.0,3
554,other,4051.0,4.0,345.0,4
555,other,2100.0,3.0,170.0,3
556,other,1991.0,3.0,160.0,3
558,other,1200.0,3.0,66.0,3
560,other,3000.0,4.0,342.0,4
561,other,2400.0,6.0,245.0,6
563,other,1375.0,2.0,105.0,2
564,other,1693.0,3.0,108.0,3
571,other,1150.0,2.0,77.5,3
575,other,1058.0,2.0,60.0,2
576,other,900.0,1.0,30.0,1
577,other,1672.0,3.0,150.0,3
580,other,1250.0,3.0,139.0,3
581,other,1468.0,3.0,130.0,2
585,other,1480.0,2.0,145.0,3
588,other,2280.0,3.0,285.0,3
589,other,2000.0,3.0,200.0,3
592,other,1080.0,2.0,75.0,3
593,other,2400.0,2.0,150.0,3
595,other,1125.0,2.0,75.0,2
596,other,1596.0,3.0,95.0,3
597,other,1639.0,3.0,123.0,3
599,other,1740.0,3.0,199.0,3
600,other,1372.0,2.0,90.0,3
602,other,6200.0,5.0,720.0,5
605,other,925.0,2.0,63.0,2
606,other,1200.0,3.0,95.0,4
607,other,1200.0,2.0,79.0,2
608,other,2500.0,3.0,270.0,3
609,other,1584.0,3.0,145.0,4
610,other,1570.0,3.0,115.0,3
611,other,3000.0,3.0,400.0,3
615,other,1750.0,3.0,180.0,3
616,other,1500.0,1.0,160.0,2
617,other,2100.0,6.0,275.0,6
619,other,705.0,1.0,36.5,1
620,other,1340.0,3.0,77.0,3
624,other,1260.0,1.0,41.0,1
625,other,1200.0,2.0,125.0,2
626,other,1270.0,2.0,175.0,4
627,other,1200.0,3.0,130.0,3
628,other,3595.0,6.0,360.0,4
630,other,3100.0,5.0,385.0,4
632,other,1200.0,4.0,150.0,4
633,other,3259.0,3.0,270.0,3
636,other,596.0,1.0,42.0,1
637,other,10000.0,16.0,550.0,16
638,other,1200.0,4.0,110.0,4
639,other,1910.0,3.0,190.0,3
642,other,1750.0,3.0,149.0,3
644,other,985.0,2.0,63.0,2
645,other,1300.0,2.0,129.0,2
646,other,1490.0,2.0,88.0,3
650,other,650.0,1.0,30.0,1
651,other,1500.0,2.0,89.99,3
652,other,1350.0,4.0,145.0,4
653,other,910.0,1.0,42.0,1
656,other,532.0,1.0,22.49,1
657,other,1060.0,3.0,62.0,3
659,other,1550.0,2.0,160.0,2
663,other,1000.0,2.0,80.0,2
665,other,1500.0,2.0,97.0,3
666,other,1865.0,4.0,140.0,3
668,other,3500.0,4.0,245.0,4
672,other,1320.0,2.0,73.0,3
673,other,2150.0,6.0,205.0,6
676,other,675.0,3.0,52.0,2
677,other,1801.0,3.0,139.0,3
679,other,2990.0,4.0,324.0,4
680,other,2400.0,2.0,160.0,2
682,other,1150.0,2.0,75.0,2
683,other,1200.0,3.0,165.0,3
690,other,1390.0,2.0,80.0,3
691,other,1550.0,2.0,90.0,3
694,other,1500.0,4.0,110.0,4
696,other,1839.0,3.0,165.0,3
698,other,900.0,2.0,70.0,2
700,other,1500.0,3.0,149.0,3
703,other,750.0,2.0,50.0,1
704,other,600.0,3.0,75.0,2
705,other,1605.0,2.0,85.0,3
708,other,1500.0,1.0,19.5,1
710,other,1200.0,2.0,70.0,2
711,other,1200.0,2.0,160.0,2
712,other,1904.0,3.0,155.0,3
713,other,2770.0,4.0,315.0,3
714,other,813.0,1.0,39.0,1
717,other,1630.0,2.0,97.78,3
719,other,2425.0,4.0,173.0,4
723,other,1280.0,2.0,75.0,2
724,other,735.0,1.0,75.0,1
725,other,500.0,1.0,24.0,1
727,other,1200.0,4.0,145.0,3
728,other,1200.0,2.0,100.0,2
729,other,1200.0,3.0,160.0,3
730,other,1265.0,2.0,82.0,3
733,other,1850.0,3.0,98.0,3
734,other,2360.0,4.0,150.0,4
735,other,1030.0,2.0,77.25,2
737,other,2000.0,3.0,160.0,3
738,other,1575.0,3.0,93.0,3
739,other,1300.0,2.0,70.0,3
741,other,1380.0,2.0,75.0,2
746,other,3100.0,3.0,250.0,3
747,other,1190.0,2.0,100.0,2
748,other,1827.0,3.0,100.0,3
749,other,1500.0,3.0,95.0,3
750,other,1180.0,2.0,63.0,2
755,other,1645.0,3.0,95.0,3
756,other,1200.0,4.0,140.0,4
759,other,1097.0,2.0,65.0,2
760,other,1600.0,3.0,165.0,4
762,other,900.0,2.0,110.0,2
763,other,1200.0,2.0,125.0,2
764,other,1355.0,2.0,75.0,2
766,other,7500.0,4.0,900.0,4
769,other,4104.0,4.0,360.0,4
772,other,2080.0,2.0,150.0,2
773,other,1505.0,2.0,90.0,2
774,other,1200.0,3.0,95.75,3
775,other,1810.0,4.0,148.0,3
777,other,1530.0,2.0,97.0,3
782,other,1500.0,2.0,130.0,3
786,other,1400.0,2.0,80.0,2
787,other,1533.0,3.0,150.0,3
789,other,3730.0,6.0,450.0,4
790,other,745.0,2.0,50.0,2
792,other,1355.0,2.0,95.0,2
793,other,833.0,1.0,49.0,1
795,other,3000.0,5.0,270.0,4
796,other,1220.0,2.0,68.0,2
797,other,3811.0,3.0,475.0,4
798,other,1545.0,3.0,85.0,3
800,other,1350.0,2.0,110.0,2
802,other,1200.0,2.0,68.0,3
804,other,2000.0,4.0,180.0,5
808,other,1280.0,4.0,115.0,4
809,other,1200.0,3.0,85.0,3
811,other,1655.0,3.0,155.0,3
812,other,1150.0,2.0,74.0,2
814,other,1200.0,2.0,108.0,3
815,other,1200.0,2.0,75.0,2
820,other,1500.0,2.0,203.0,2
823,other,4500.0,9.0,500.0,9
826,other,1550.0,3.0,160.0,3
829,other,1758.0,3.0,95.0,3
830,other,3179.0,5.0,351.0,4
832,other,1200.0,3.0,85.0,2
834,other,1800.0,3.0,140.0,3
837,other,3900.0,4.0,333.0,4
838,other,2400.0,4.0,200.0,3
839,other,1645.0,3.0,87.5,3
841,other,2600.0,3.0,140.0,3
842,other,950.0,2.0,60.0,2
848,other,1900.0,3.0,205.0,3
850,other,1402.0,2.0,85.0,3
852,other,2100.0,3.0,240.0,3
856,other,1200.0,3.0,140.0,3
857,other,814.0,2.0,55.0,2
860,other,1590.0,3.0,120.0,3
861,other,3754.0,6.0,430.0,4
864,other,1450.0,2.0,89.6,3
866,other,1340.0,2.0,77.0,2
869,other,1665.0,3.0,105.0,3
871,other,2300.0,4.0,200.0,4
872,other,1210.0,2.0,76.0,2
877,other,1065.0,2.0,58.0,2
880,other,1636.0,3.0,97.0,3
881,other,3600.0,4.0,450.0,4
884,other,1200.0,3.0,72.0,3
888,other,1000.0,1.0,75.0,2
891,other,1170.0,2.0,86.0,2
892,other,4830.0,5.0,390.0,4
893,other,850.0,2.0,75.0,2
897,other,2065.0,3.0,130.0,3
898,other,1150.0,2.0,125.0,2
901,other,2550.0,4.0,290.0,3
902,other,3080.0,2.0,285.0,4
904,other,3400.0,6.0,420.0,4
905,other,450.0,1.0,25.0,1
906,other,1100.0,2.0,85.0,2
911,other,1036.0,2.0,110.0,2
914,other,1376.0,4.0,156.0,4
919,other,1080.0,2.0,62.0,2
923,other,1475.0,2.0,200.0,3
924,other,1200.0,3.0,96.25,3
926,other,2631.0,3.0,200.0,4
927,other,830.0,2.0,60.0,2
928,other,1500.0,2.0,88.0,2
931,other,856.0,2.0,48.0,2
932,other,1143.0,2.0,62.0,2
934,other,1117.0,2.0,110.0,2
935,other,600.0,1.0,43.0,1
939,other,1200.0,3.0,70.0,3
940,other,2675.0,4.0,290.0,4
944,other,1477.0,2.0,80.0,3
945,other,3500.0,5.0,450.0,4
946,other,1793.0,3.0,98.0,3
950,other,1020.0,2.0,62.0,2
951,other,3563.0,6.0,310.0,4
954,other,3300.0,5.0,318.0,4
955,other,1200.0,3.0,165.0,3
959,other,1718.0,3.0,223.0,3
960,other,1200.0,2.0,75.0,3
961,other,985.0,2.0,55.0,2
966,other,1030.0,2.0,80.0,2
968,other,1150.0,2.0,69.0,2
971,other,1500.0,2.0,90.0,3
972,other,900.0,2.0,55.0,2
977,other,1750.0,2.0,225.0,4
979,other,1100.0,2.0,78.0,2
980,other,1180.0,2.0,74.0,2
982,other,1540.0,3.0,85.0,3
984,other,1800.0,3.0,230.0,3
986,other,2000.0,3.0,120.0,3
987,other,2000.0,3.0,145.0,3
988,other,500.0,1.0,15.0,1
994,other,3160.0,4.0,206.0,4
995,other,922.0,2.0,70.0,2
996,other,850.0,2.0,72.0,2
997,other,1200.0,1.0,65.0,2
999,other,1233.0,2.0,100.0,2
1007,other,1936.0,3.0,110.0,3
1008,other,1652.5,3.0,90.0,3
1010,other,1500.0,3.0,138.0,3
1011,other,700.0,2.0,43.0,2
1012,other,1750.0,3.0,170.0,3
1013,other,1365.0,3.0,99.0,3
1016,other,708.0,1.0,55.0,2
1017,other,1680.0,3.0,135.0,3
1018,other,990.0,2.0,58.0,2
1019,other,1240.0,2.0,100.0,2
1020,other,1810.0,3.0,118.0,3
1021,other,2005.0,3.0,240.0,3
1024,other,1000.0,2.0,97.0,2
1027,other,1430.0,3.0,78.65,3
1029,other,1200.0,2.0,45.0,1
1034,other,840.0,1.0,75.0,1
1035,other,1760.0,2.0,116.0,3
1036,other,3317.5,5.0,268.5,4
1037,other,600.0,1.0,52.0,2
1038,other,1670.0,3.0,160.0,3
1041,other,1200.0,2.0,75.6,3
1042,other,2400.0,5.0,285.0,5
1043,other,2100.0,4.0,150.0,4
1047,other,1550.0,4.0,120.0,4
1048,other,905.0,2.0,50.0,2
1049,other,1495.0,3.0,200.0,3
1051,other,550.0,1.0,23.0,1
1054,other,1080.0,2.0,75.0,3
1056,other,1537.0,3.0,110.0,3
1057,other,1750.0,3.0,150.0,3
1058,other,2800.0,7.0,250.0,7
1060,other,1191.0,2.0,90.0,2
1063,other,2849.0,5.0,250.0,4
1068,other,827.0,2.0,45.0,2
1075,other,1205.0,2.0,70.0,2
1079,other,2200.0,4.0,160.0,3
1082,other,1900.0,3.0,155.0,3
1083,other,1200.0,1.0,95.0,2
1085,other,1100.0,2.0,61.0,2
1086,other,1100.0,2.0,110.0,2
1087,other,1942.0,3.0,155.0,3
1088,other,1200.0,4.0,80.0,3
1091,other,1515.0,3.0,90.0,3
1094,other,1200.0,4.0,95.0,4
1100,other,1200.0,1.0,69.0,1
1101,other,1717.0,3.0,99.0,3
1103,other,1200.0,1.0,48.0,1
1104,other,1430.0,2.0,78.65,3
1106,other,1190.0,2.0,70.0,2
1108,other,2690.0,4.0,185.0,4
1109,other,1594.0,3.0,99.0,3
1110,other,1250.0,2.0,68.0,2
1111,other,1290.0,1.0,77.5,2
1113,other,1464.0,2.0,145.0,2
1114,other,1200.0,2.0,75.0,2
1117,other,1485.0,2.0,156.0,3
1118,other,2070.0,3.0,135.0,3
1121,other,800.0,2.0,55.0,2
1123,other,1480.0,2.0,125.0,3
1125,other,1500.0,2.0,130.0,2
1126,other,2010.0,3.0,125.0,3
1127,other,1504.0,2.0,100.0,3
1129,other,1602.0,2.0,165.0,3
1130,other,1200.0,4.0,130.0,4
1131,other,1800.0,3.0,220.0,3
1137,other,1862.0,3.0,120.0,3
1138,other,2700.0,3.0,200.0,3
1139,other,1677.0,3.0,98.0,3
1141,other,1490.0,2.0,115.0,3
1143,other,1740.0,3.0,120.0,3
1144,other,1020.0,2.0,60.0,2
1145,other,550.0,1.0,16.0,1
1148,other,3664.0,3.0,325.0,3
1149,other,690.0,2.0,42.0,2
1150,other,1520.0,3.0,111.0,3
1152,other,1200.0,4.0,86.0,4
1153,other,1250.0,2.0,90.0,2
1154,other,1900.0,2.0,190.0,3
