,location,total_sqft,bath,price,bhk
1157,other,1602.0,2.0,170.0,3
1158,other,1230.0,2.0,70.0,2
1159,other,1600.0,3.0,95.0,3
1160,other,450.0,1.0,60.0,1
1161,other,600.0,2.0,23.0,1
1162,other,3463.0,6.0,310.0,4
1163,other,1200.0,2.0,85.0,2
1166,other,2000.0,4.0,130.0,3
1167,other,1350.0,4.0,140.0,4
1170,other,1175.0,2.0,79.0,2
1172,other,1112.0,2.0,68.0,2
1175,other,1158.0,2.0,75.0,2
1178,other,1200.0,2.0,90.0,2
1179,other,1266.67,2.0,69.0,2
1181,other,2000.0,2.0,160.0,2
1185,other,2679.0,5.0,280.0,4
1186,other,1230.0,2.0,75.0,2
1188,other,3150.0,5.0,145.0,8
1189,other,2400.0,2.0,135.0,2
1190,other,880.0,2.0,48.0,2
1195,other,1022.0,2.0,57.0,2
1196,other,1200.0,2.0,76.0,2
1199,other,1605.0,3.0,100.0,3
1200,other,1542.0,3.0,98.0,3
1203,other,1333.0,2.0,77.27,2
1204,other,1100.0,3.0,110.0,3
1205,other,1050.0,2.0,70.0,2
1209,other,1200.0,4.0,165.0,4
1210,other,1100.0,2.0,145.0,3
1212,other,1200.0,3.0,99.0,3
1215,other,1000.0,2.0,60.0,2
1216,other,5720.0,3.0,350.0,3
1218,other,1012.0,2.0,59.0,2
1221,other,1200.0,4.0,140.0,4
1222,other,600.0,2.0,39.0,2
1225,other,1700.0,3.0,111.0,3
1229,other,1780.0,3.0,110.0,3
1231,other,1080.0,3.0,149.0,3
1232,other,900.0,2.0,65.0,3
1234,other,1200.0,3.0,160.0,4
1235,other,1540.0,3.0,85.0,3
1236,other,2456.0,3.0,220.0,3
1238,other,1530.0,2.0,185.0,2
1241,other,1717.0,3.0,120.0,3
1244,other,1475.0,2.0,171.0,2
1246,other,650.0,1.0,16.0,1
1248,other,1504.0,2.0,102.0,3
1250,other,1800.0,4.0,145.0,4
1251,other,3000.0,4.0,240.0,4
1253,other,1625.0,3.0,92.0,3
1254,other,2400.0,4.0,250.0,4
1257,other,1490.0,2.0,92.0,3
1259,other,1044.0,2.0,60.0,2
1263,other,1567.2,2.0,190.0,3
1268,other,1293.0,2.0,75.0,2
1270,other,860.0,2.0,65.5,2
1271,other,1374.0,2.0,88.0,3
1275,other,2000.0,2.0,160.0,4
1276,other,834.0,1.0,62.0,1
1277,other,600.0,1.0,52.0,1
1278,other,2000.0,4.0,135.0,4
1279,other,2750.0,3.0,260.0,3
1283,other,1280.0,2.0,90.0,2
1285,other,2075.0,3.0,175.0,3
1292,other,2274.24,4.0,160.0,3
1294,other,900.0,3.0,105.0,2
1297,other,1350.0,3.0,75.0,3
1299,other,470.0,2.0,10.0,1
1301,other,1313.0,4.0,150.0,3
1302,other,2515.0,4.0,155.0,3
1305,other,2665.0,3.0,350.0,3
1307,other,3500.0,5.0,450.0,4
1314,other,2400.0,5.0,300.0,6
1315,other,3000.0,4.0,130.0,8
1316,other,1235.0,2.0,140.0,2
1317,other,3200.0,3.0,260.0,3
1318,other,1450.0,3.0,90.0,3
1319,other,3754.0,6.0,480.0,4
1320,other,1893.0,3.0,115.0,3
1323,other,1200.0,2.0,100.0,3
1324,other,1205.0,2.0,70.0,2
1325,other,1500.0,3.0,90.0,3
1327,other,1250.0,2.0,67.0,2
1330,other,375.0,1.0,26.0,1
1331,other,800.0,3.0,59.5,2
1333,other,1400.0,2.0,85.0,2
1334,other,1800.0,2.0,100.0,3
1335,other,925.0,2.0,70.0,2
1338,other,3500.0,2.0,350.0,4
1341,other,2100.0,4.0,255.0,3
1342,other,400.0,1.0,35.0,1
1345,other,2400.0,5.0,180.0,4
1346,other,6000.0,1.0,276.0,1
1347,other,825.0,2.0,40.0,1
1349,other,5000.0,5.0,600.0,4
1351,other,4800.0,5.0,420.0,4
1352,other,3400.0,3.0,400.0,3
1353,other,600.0,1.0,33.0,1
1355,other,2600.0,3.0,147.0,3
1357,other,800.0,1.0,72.0,1
1359,other,1225.0,2.0,82.0,3
1360,other,655.0,1.0,27.0,1
1361,other,1196.0,2.0,96.0,2
1362,other,927.0,2.0,50.0,2
1363,other,600.0,1.0,18.0,1
1365,other,2800.0,4.0,200.0,4
1368,other,800.0,2.0,85.0,2
1369,other,985.0,2.0,57.0,2
1370,other,6000.0,12.0,150.0,11
1372,other,600.0,2.0,80.0,2
1373,other,1503.0,2.0,93.0,3
1378,other,1768.0,3.0,95.0,3
1379,other,3060.0,4.0,350.0,4
1380,other,800.0,1.0,32.0,1
1382,other,600.0,1.0,35.0,1
1383,other,1010.0,2.0,55.0,2
1386,other,3978.0,4.0,428.0,4
1389,other,2008.0,3.0,170.0,3
1390,other,2095.0,3.0,142.0,3
1392,other,1600.0,2.0,88.0,3
1393,other,1350.0,4.0,160.0,4
1394,other,500.0,1.0,20.0,1
1395,other,1280.0,2.0,100.0,3
1396,other,1650.0,3.0,110.0,3
1399,other,1044.0,2.0,85.0,2
1401,other,840.0,1.0,99.0,2
1404,other,3870.0,4.0,411.0,4
1406,other,1835.0,3.0,175.0,3
1409,other,425.0,1.0,15.0,1
1412,other,2380.0,4.0,242.0,4
1413,other,900.0,1.0,70.0,2
1414,other,1517.0,2.0,125.0,2
1416,other,3602.0,4.0,280.0,4
1417,other,2159.0,3.0,120.0,3
1418,other,1200.0,3.0,72.0,3
1419,other,1850.0,3.0,175.0,6
1420,other,510.0,1.0,34.0,1
1421,other,1166.0,2.0,65.0,2
1422,other,2700.0,2.0,260.0,3
1423,other,1350.0,2.0,175.0,3
1425,other,940.0,2.0,56.0,2
1428,other,1645.0,3.0,95.0,3
1430,other,1000.0,2.0,63.0,2
1432,other,1998.0,3.0,117.0,3
1435,other,1804.0,3.0,150.0,3
1436,other,1350.0,3.0,81.0,3
1438,other,3000.0,3.0,300.0,4
1442,other,1200.0,4.0,110.0,4
1444,other,1217.0,2.0,164.0,2
1447,other,600.0,1.0,45.0,1
1448,other,672.0,1.0,27.0,1
1449,other,1280.0,3.0,87.0,3
1451,other,1567.0,3.0,100.0,3
1452,other,2350.0,3.0,210.0,3
1455,other,560.0,1.0,19.0,1
1457,other,520.0,2.0,29.0,1
1458,other,1950.0,3.0,230.0,3
1459,other,600.0,1.0,58.0,1
1460,other,1000.0,1.0,19.0,1
1462,other,375.0,1.0,40.0,1
1464,other,2000.0,2.0,120.0,2
1465,other,1220.0,2.0,65.0,2
1469,other,1130.0,2.0,74.0,2
1470,other,1407.0,2.0,83.87,2
1472,other,1350.0,4.0,160.0,4
1473,other,2375.0,3.0,260.0,4
1474,other,1200.0,2.0,67.0,2
1475,other,1872.0,3.0,152.0,3
1476,other,1400.0,3.0,90.0,3
1477,other,812.0,1.0,26.0,1
1479,other,600.0,2.0,35.0,1
1493,other,1800.0,4.0,115.0,3
1495,other,1499.0,3.0,89.0,3
1498,other,1050.0,2.0,65.0,2
1499,other,905.0,2.0,50.0,2
1503,other,3155.0,3.0,315.0,3
1508,other,1464.0,2.0,135.0,3
1510,other,1200.0,2.0,75.0,2
1511,other,1707.0,3.0,171.0,3
1512,other,565.0,1.0,33.0,1
1513,other,630.0,2.0,70.0,1
1514,other,1000.0,2.0,55.0,2
1517,other,2400.0,4.0,130.0,3
1519,other,1100.0,2.0,70.0,2
1520,other,420.0,1.0,23.5,1
1522,other,1225.0,2.0,71.05,2
1523,other,1350.0,4.0,90.0,4
1524,other,1732.5,3.0,91.855,3
1525,other,3760.0,2.0,280.0,2
1526,other,3071.0,4.0,300.0,3
1531,other,1620.0,3.0,95.0,3
1532,other,560.0,1.0,21.0,1
1535,other,2250.0,3.0,180.0,3
1537,other,1350.0,2.0,45.0,1
1538,other,1209.0,2.0,100.0,2
1539,other,1500.0,3.0,95.0,3
1540,other,1000.0,2.0,60.0,2
1542,other,1200.0,4.0,130.0,4
1543,other,2250.0,3.0,199.0,3
1544,other,3700.0,4.0,314.0,4
1546,other,1405.0,3.0,169.0,3
1547,other,4800.0,6.0,420.0,4
1550,other,500.0,1.0,16.0,1
1551,other,1600.0,3.0,180.0,3
1553,other,648.0,1.0,34.0,1
1554,other,1720.0,2.0,126.0,3
1557,other,1080.0,2.0,64.0,2
1558,other,1100.0,2.0,61.0,2
1561,other,535.0,1.0,35.0,1
1564,other,1465.0,2.0,88.0,3
1565,other,1145.0,2.0,63.0,2
1566,other,3420.0,3.0,410.0,4
1567,other,1280.0,2.0,75.0,2
1568,other,680.0,3.0,60.0,2
1570,other,1738.0,3.0,110.0,3
1571,other,1500.0,3.0,90.0,3
1573,other,1050.0,2.0,110.0,2
1574,other,1541.0,2.0,181.0,2
1575,other,1275.0,2.0,105.0,2
1576,other,2048.0,3.0,206.0,3
1580,other,2320.0,2.0,160.0,3
1581,other,1237.0,3.0,78.0,3
1585,other,1200.0,2.0,140.0,4
1587,other,1160.0,2.0,75.0,2
1593,other,1155.0,2.0,65.0,2
1597,other,984.0,2.0,125.0,2
1598,other,1148.0,2.0,69.0,2
1599,other,1719.0,3.0,110.0,3
1601,other,3000.0,4.0,264.0,4
1603,other,1320.0,2.0,90.0,2
1607,other,1230.0,2.0,68.0,2
1609,other,4560.0,5.0,430.0,4
1614,other,3000.0,4.0,300.0,5
1615,other,1560.0,2.0,125.0,3
1617,other,1012.0,2.0,59.0,2
1618,other,1245.0,2.0,120.0,2
1619,other,1485.0,2.0,110.0,3
1622,other,1489.0,2.0,101.0,2
1623,other,2800.0,4.0,365.0,4
1625,other,1600.0,2.0,90.0,3
1627,other,3000.0,6.0,300.0,6
1628,other,1903.0,3.0,165.0,3
1630,other,2996.0,4.0,200.0,4
1633,other,551.0,1.0,30.0,1
1635,other,550.0,1.0,16.0,1
1636,other,1780.0,3.0,100.0,3
1638,other,1310.0,3.0,90.0,3
1641,other,1603.0,2.0,125.0,3
1642,other,2180.0,3.0,285.0,3
1643,other,450.0,1.0,30.0,1
1644,other,3000.0,4.0,301.0,4
1647,other,1275.0,2.0,69.0,2
1649,other,1623.0,3.0,155.0,3
1651,other,900.0,1.0,52.3,1
1657,other,1200.0,2.0,110.0,2
1658,other,1400.0,2.0,78.0,3
1659,other,2648.0,3.0,238.0,3
1661,other,1475.0,3.0,80.0,3
1662,other,1721.0,3.0,93.0,3
1664,other,4800.0,4.0,420.0,4
1665,other,1163.0,2.0,68.0,2
1666,other,801.0,1.0,33.645,1
1667,other,1300.0,2.0,80.0,3
1671,other,998.0,2.0,65.0,2
1672,other,3300.0,9.0,450.0,10
1673,other,1040.0,2.0,78.0,2
1676,other,1907.0,2.0,200.0,3
1677,other,1330.0,2.0,80.0,2
1678,other,4446.0,3.0,410.0,3
1679,other,1320.0,2.0,95.0,3
1686,other,2200.0,2.0,150.0,4
1687,other,1092.0,3.0,95.0,3
1693,other,1130.0,2.0,75.0,2
1695,other,1900.0,3.0,190.0,3
1697,other,1200.0,4.0,110.0,4
1698,other,1630.0,3.0,131.0,3
1699,other,1050.0,2.0,41.0,1
1701,other,3210.0,4.0,380.0,3
1702,other,5425.0,13.0,275.0,13
1703,other,1200.0,4.0,135.0,4
1705,other,900.0,2.0,48.0,2
1706,other,4041.0,4.0,345.0,4
1707,other,620.0,1.0,25.0,1
1708,other,1210.0,2.0,75.0,2
1711,other,1200.0,1.0,70.0,2
1713,other,1200.0,3.0,70.0,2
1715,other,1130.0,2.0,68.0,2
1718,other,2750.0,5.0,275.0,3
1719,other,800.0,2.0,55.0,2
1720,other,1244.0,2.0,95.0,2
1721,other,1500.0,4.0,180.0,3
1722,other,1200.0,2.0,75.0,2
1723,other,400.0,2.0,50.0,1
1725,other,2159.0,3.0,120.0,3
1727,other,1200.0,1.0,48.0,1
1732,other,1450.0,2.0,90.0,2
1734,other,10030.0,1.0,150.0,1
1736,other,2300.0,3.0,280.0,3
1740,other,925.0,2.0,55.0,2
1741,other,3900.0,3.0,250.0,3
1742,other,1400.0,2.0,160.0,2
1743,other,1715.0,3.0,95.0,3
1744,other,703.0,2.0,60.0,2
1747,other,600.0,1.0,20.0,1
1748,other,4382.0,4.0,400.0,4
1749,other,1030.0,2.0,77.25,3
1750,other,1254.0,2.0,70.0,3
1752,other,1293.0,2.0,80.0,2
1755,other,1000.0,2.0,66.0,2
1756,other,1864.0,3.0,115.0,3
1757,other,1200.0,2.0,135.0,2
1763,other,1525.0,2.0,91.48,3
1764,other,975.0,2.0,60.0,2
1767,other,1500.0,2.0,85.0,1
1770,other,1200.0,4.0,138.0,2
1771,other,1100.0,2.0,68.0,2
1772,other,4000.0,6.0,460.0,6
1774,other,2950.0,4.0,250.0,4
1775,other,1464.0,2.0,115.0,3
1776,other,1385.0,3.0,90.0,3
1780,other,1415.0,2.0,120.0,2
1785,other,2400.0,2.0,185.0,3
1788,other,1025.0,2.0,65.0,2
1789,other,1020.0,2.0,70.0,2
1790,other,1155.0,2.0,69.0,2
1791,other,2030.0,2.0,182.0,3
1793,other,2900.0,3.0,325.0,3
1797,other,1500.0,2.0,145.0,2
1801,other,2597.0,4.0,189.0,4
1805,other,1201.0,2.0,65.0,2
1806,other,660.0,1.0,30.0,1
1808,other,2735.0,4.0,340.0,3
1809,other,950.0,2.0,65.0,2
1810,other,980.0,3.0,80.0,3
1815,other,1265.0,2.0,68.0,2
1818,other,660.0,1.0,35.0,1
1820,other,1458.0,2.0,87.0,3
1822,other,1178.0,2.0,80.0,2
1824,other,2700.0,4.0,295.0,4
1827,other,1300.0,2.0,95.0,2
1828,other,936.0,1.0,53.0,1
1829,other,1277.0,2.0,92.0,2
1831,other,1600.0,2.0,160.0,2
1839,other,1839.0,3.0,160.0,3
1842,other,925.0,2.0,100.0,2
1843,other,650.0,1.0,50.0,1
1845,other,720.0,1.0,32.39,1
1847,other,1600.0,3.0,130.0,3
1848,other,1296.0,2.0,70.0,2
1852,other,2200.0,3.0,225.0,4
1854,other,1626.6,3.0,133.0,3
1856,other,1100.0,2.0,60.0,2
1857,other,1348.0,2.0,100.0,2
1859,other,1350.0,4.0,175.0,4
1865,other,1410.0,3.0,90.0,3
1866,other,1460.0,2.0,87.0,3
1867,other,1260.0,2.0,85.05,3
1868,other,3000.0,3.0,265.0,3
1869,other,1200.0,2.0,120.0,3
1871,other,1800.0,3.0,150.0,3
1875,other,2098.0,3.0,210.0,3
1876,other,2400.0,3.0,270.0,3
1877,other,1800.0,3.0,192.0,3
1879,other,509.0,1.0,20.0,1
1883,other,2350.0,5.0,325.0,5
1884,other,2050.0,3.0,135.0,3
1885,other,2100.0,1.0,200.0,2
1886,other,1276.0,2.0,146.0,2
1889,other,1600.0,3.0,100.0,3
1890,other,2100.0,3.0,280.0,4
1893,other,2100.0,3.0,270.0,3
1896,other,3500.0,4.0,320.0,4
1898,other,1540.0,3.0,150.0,3
1899,other,3200.0,4.0,270.0,4
1901,other,1165.0,2.0,65.0,2
1904,other,1645.0,3.0,87.0,3
1908,other,800.0,1.0,95.0,2
1909,other,1650.0,2.0,140.0,4
1911,other,4395.0,3.0,240.0,3
1913,other,1936.0,3.0,139.0,3
1915,other,1220.0,2.0,65.0,2
1917,other,1200.0,1.0,65.0,1
1921,other,1310.0,2.0,88.0,2
1923,other,2000.0,5.0,240.0,5
1924,other,4500.0,4.0,345.0,4
1925,other,3155.0,4.0,316.0,3
1927,other,1441.0,2.0,115.0,2
1928,other,418.0,1.0,17.0,1
1929,other,1200.0,3.0,80.0,3
1930,other,1500.0,2.0,200.0,3
1932,other,610.0,1.0,28.0,1
1934,other,1864.0,3.0,120.0,3
1935,other,950.0,2.0,57.0,2
1937,other,1100.0,2.0,62.0,2
1939,other,1200.0,4.0,165.0,4
1941,other,1200.0,2.0,90.0,3
1943,other,1279.0,2.0,100.0,2
1949,other,3600.0,4.0,300.0,4
1950,other,3730.0,6.0,430.0,4
1951,other,1600.0,4.0,120.0,3
1952,other,1120.0,2.0,60.0,2
1954,other,1308.0,2.0,86.0,2
1955,other,2170.0,3.0,265.0,4
1959,other,1225.0,2.0,71.05,2
1961,other,1200.0,3.0,78.0,2
1962,other,2180.0,3.0,273.0,3
1967,other,3300.0,8.0,310.0,8
1968,other,1300.0,2.0,95.0,2
1969,other,1350.0,2.0,89.5,2
1970,other,2312.0,3.0,156.0,3
1971,other,1175.0,2.0,70.0,2
1973,other,2150.0,3.0,240.0,3
1975,other,1386.0,3.0,93.0,4
1979,other,6652.0,6.0,510.0,4
1981,other,2500.0,2.0,300.0,3
1982,other,1500.0,2.0,120.0,3
1985,other,1200.0,1.0,39.82,1
1986,other,3520.0,6.0,460.0,5
1989,other,1200.0,3.0,68.0,3
1991,other,3800.0,6.0,390.0,6
1992,other,410.0,1.0,48.0,1
1993,other,1717.0,3.0,200.0,3
1994,other,880.0,1.0,90.0,2
1996,other,1293.0,2.0,80.0,2
1997,other,1280.0,2.0,68.48,2
1998,other,1065.0,3.0,72.0,3
2000,other,1250.0,2.0,77.13,3
2002,other,2100.0,3.0,210.0,4
2005,other,7000.0,6.0,560.0,6
2007,other,1220.0,2.0,72.0,2
2011,other,1100.0,2.0,75.0,2
2012,other,1350.0,2.0,90.0,2
2013,other,4800.0,5.0,350.0,4
2015,other,1200.0,3.0,110.0,3
2016,other,705.0,1.0,65.0,1
2018,other,1250.0,2.0,75.0,2
2022,other,648.0,1.0,40.0,1
2024,other,1200.0,5.0,150.0,4
2026,other,500.0,1.0,13.0,1
2027,other,2400.0,4.0,325.0,5
2029,other,1180.0,2.0,65.0,2
2033,other,975.0,2.0,55.0,2
2036,other,1115.0,2.0,115.0,2
2042,other,1495.0,3.0,90.0,3
2046,other,1000.0,2.0,60.0,2
2049,other,660.0,2.0,76.0,2
2051,other,1275.0,2.0,76.0,2
2053,other,793.0,1.0,40.0,1
2056,other,1630.0,2.0,130.0,3
2059,other,3000.0,3.0,400.0,3
2060,other,1200.0,2.0,82.0,2
2061,other,1419.0,3.0,85.0,3
2063,other,2020.0,3.0,270.0,3
2064,other,850.0,1.0,50.0,1
2065,other,933.0,2.0,55.0,2
2069,other,823.0,2.0,80.0,2
2071,other,1750.0,3.0,120.0,3
2073,other,750.0,2.0,40.0,2
2075,other,2150.0,3.0,170.0,3
2076,other,2200.0,2.0,190.0,3
2077,other,1368.0,2.0,87.0,2
2078,other,1507.0,3.0,80.0,3
2080,other,1200.0,3.0,70.0,3
2081,other,1175.0,2.0,83.0,2
2082,other,6729.0,4.0,900.0,3
2084,other,1400.0,3.0,98.0,3
2090,other,2240.0,3.0,300.0,3
2093,other,1520.0,3.0,165.0,3
2096,other,2360.0,3.0,185.0,4
2100,other,600.0,4.0,70.0,2
2101,other,800.0,1.0,45.0,2
2102,other,1200.0,4.0,120.0,4
2103,other,1892.0,3.0,200.0,3
2105,other,1050.0,2.0,65.0,2
2107,other,1625.0,3.0,92.0,3
2110,other,1269.0,2.0,97.0,2
2113,other,1353.0,2.0,110.0,3
2114,other,1200.0,2.0,68.0,2
2115,other,1250.0,2.0,70.0,3
2116,other,1950.2,3.0,261.0,3
2117,other,2171.66,3.0,298.0,3
2119,other,1600.0,3.0,100.0,3
2120,other,540.0,1.0,22.0,1
2121,other,1950.2,3.0,193.0,3
2124,other,1013.0,2.0,60.0,2
2125,other,2100.0,3.0,220.0,3
2128,other,1625.0,3.0,95.0,3
2130,other,1600.0,5.0,140.0,5
2132,other,930.0,1.0,55.0,2
2136,other,2400.0,3.0,185.0,4
2138,other,1427.0,2.0,85.0,3
2139,other,2031.0,2.0,200.0,2
2140,other,2000.0,3.0,180.0,4
2142,other,700.0,1.0,25.5,1
2143,other,1200.0,3.0,120.0,3
2144,other,1200.0,2.0,115.0,2
2146,other,1650.0,6.0,200.0,5
2147,other,2000.0,3.0,200.0,3
2148,other,1150.0,2.0,90.0,2
2149,other,595.0,1.0,40.0,1
2151,other,5480.0,4.0,400.0,3
2153,other,5656.0,5.0,499.0,3
2158,other,3700.0,4.0,400.0,4
2159,other,1625.0,3.0,150.0,3
2162,other,1515.0,3.0,80.5,3
2166,other,2505.0,3.0,165.0,3
2169,other,1650.0,3.0,135.0,3
2170,other,925.0,2.0,68.0,2
2172,other,1750.0,3.0,100.0,3
2173,other,747.0,1.0,27.0,1
2175,other,1738.0,3.0,110.0,3
2178,other,1720.0,3.0,95.0,3
2179,other,500.0,1.0,51.0,1
2183,other,1290.0,2.0,71.95,2
2184,other,1650.0,3.0,140.0,3
2188,other,2559.0,1.0,55.0,1
2189,other,720.0,1.0,28.0,1
2190,other,1100.0,2.0,90.0,2
2194,other,600.0,1.0,22.8,1
2195,other,540.0,1.0,24.0,1
2202,other,1200.0,4.0,85.0,4
2205,other,2400.0,3.0,185.0,3
2206,other,1432.0,3.0,79.0,3
2207,other,1500.0,3.0,90.0,3
2208,other,3500.0,3.0,425.0,4
2209,other,3100.0,5.0,425.0,4
2212,other,1200.0,4.0,110.0,4
2213,other,600.0,1.0,24.0,1
2214,other,1770.0,3.0,99.0,3
2215,other,1800.0,3.0,130.0,3
2217,other,1570.0,2.0,95.0,3
2218,other,2250.0,3.0,180.0,3
2219,other,1270.0,2.0,172.0,2
2222,other,3210.0,2.0,353.0,5
2230,other,1950.0,3.0,132.0,3
2231,other,1200.0,2.0,130.0,3
2233,other,1600.0,3.0,102.0,3
2237,other,1100.0,2.0,65.0,2
2239,other,600.0,3.0,72.0,2
2240,other,1200.0,3.0,75.0,3
2241,other,450.0,1.0,20.0,1
2243,other,1719.0,3.0,95.0,3
2246,other,540.0,1.0,22.5,1
2249,other,1500.0,3.0,85.0,3
2250,other,1360.0,2.0,73.0,3
2252,other,1182.0,2.0,64.0,2
2253,other,1350.0,1.0,120.0,3
2254,other,1500.0,3.0,90.0,3
2255,other,2292.0,2.0,285.0,3
2256,other,1945.0,3.0,135.0,3
2258,other,1075.0,2.0,58.0,2
2264,other,1035.0,2.0,60.0,2
2265,other,1232.0,2.0,94.28,2
2267,other,6652.0,6.0,660.0,4
2271,other,2700.0,3.0,230.0,4
2274,other,6688.0,6.0,700.0,4
2276,other,2872.0,4.0,183.0,4
2279,other,1100.0,2.0,64.08,2
2282,other,1600.0,2.0,90.0,2
2284,other,530.0,1.0,18.0,1
2286,other,1800.0,5.0,140.0,6
2287,other,1012.0,2.0,62.0,2
2289,other,1490.0,3.0,140.0,3
2291,other,1650.0,1.0,130.0,2
2295,other,1155.0,2.0,64.0,2
2297,other,1200.0,2.0,70.0,2
2298,other,1800.0,1.0,200.0,1
2301,other,1353.0,2.0,110.0,2
2302,other,812.0,1.0,26.0,1
2305,other,3600.0,5.0,400.0,4
